"hotel_name";"food_type";"location";"rating";"delivery_time";"offer_percentage";"offer_upto"
"Deepak (Borivali)";"Indian, Chinese, South Indian, Snacks";"Borivali West";"4.5 ";"38";"0";"Not Available"
"Godwa";"American, Beverages, Thalis";"Malad Borivali Area";"4.4 ";"39";"10";"600"
"Radha Krishna (Borivali)";"Indian, Chinese, South Indian, Mexican, Italian";"Borivali West";"4.4 ";"39";"0";"Not Available"
"Tulsi Vihar";"North Indian, Chinese, South Indian, Beverages";"Kandivali West";"4.2 ";"42";"Not Available";"999"
"Smokin Curries";"Biryani, Indian, North Indian, Tandoor, Kebabs, Fast Food, Desserts, Beverages";"Malad Kan West";"4.2 ";"54";"0";"Not Available"
"The Food Studio Kitchen & Bar";"North Indian, Continental, Asian, Punjabi, Chinese, Italian, Mughlai";"Malad West";"4.4 ";"56";"0";"Not Available"
"Bhavesh Chinese";"Chinese, Indian";"Borivali West";"4.2 ";"43";"0";"Not Available"
"Spukies - The Veg Sigree";"North Indian, Jain, Chinese, South Indian";"Mumbai";"4.3 ";"46";"0";"Not Available"
"Agri Malhari Katta";"Indian, Chinese";"Borivali";"4.3 ";"50";"0";"Not Available"
"Zaika Fun Dining | Club Aquaria";"North Indian, Chinese, Biryani, Continental";"Borivali West";"4.3 ";"44";"Not Available";"449"
"Pishu's - Drink Your Fruit";"Juices, Beverages, Healthy Food";"Malad West";"4.4 ";"55";"Not Available";"399"
"Madhuram Sweets & Chaat";"Desserts";"Dahisar";"4.6 ";"46";"Not Available";"999"
"Cosway";"Chinese, North Indian, Indian";"PG Road";"4.1 ";"51";"Not Available";"449"
"Kansar Pure Veg Thali";"Thalis";"Chikoowadi";"4.1 ";"44";"15";"800"
"Jain SubKuchh Food Plaza";"Street Food, North Indian, Chinese, Desserts, South Indian";"Malad West";"4.3 ";"52";"Not Available";"449"
"Pangat (Gorai)";"Indian, Chinese, Malwani, Seafood, Kebabs, Biryani, Maharashtrian";"Borivali West";"4.4 ";"40";"0";"Not Available"
"Shenoy's";"Fast Food, Snacks, Chinese, Chaat";"Jog Gor East";"4.1 ";"48";"0";"Not Available"
"Surmai Restaurant";"Seafood, Indian, Chinese";"Malad West";"4.3 ";"47";"Not Available";"449"
"Qutuz Irani Cafe";"Fast Food";"Chincholi Bunder Road";"4.3 ";"51";"0";"Not Available"
"Anda Apna Apna";"Fast Food";"Malad West";"4.5 ";"52";"Not Available";"449"
"Shreeji Pure Veg";"Indian, South Indian, Chinese, Desserts, Beverages";"Jog Gor East";"4.5 ";"49";"0";"Not Available"
"Sai Veg World";"Indian, Chinese";"Goregaon East";"4.3 ";"50";"Not Available";"449"
"Baba Falooda";"Desserts";"Mira Road";"4.5 ";"40";"0";"Not Available"
"Persia Darbar";"North Indian, Biryani, Chinese, Arabian, Mughlai";"Goregaon East";"4.3 ";"44";"Not Available";"799"
"CakeZone";"Bakery, Desserts, Sweets, Ice Cream";"L T Road Junction";"4.2 ";"37";"Not Available";"399"
"Bikkgane Biryani";"Biryani, Hyderabadi, Andhra, South Indian, North Indian, Mughlai, Kebabs";"Malad Kan West";"4.1 ";"54";"Not Available";"449"
"Chai Point";"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi, Chaat, Indian, American, North Indian, Fast Food, Desserts, Cafe, Healthy Food, Home Food";"Malad West";"4.3 ";"52";"25";"125"
"Biryani By Kilo";"Biryani, Hyderabadi, North Indian, Kebabs, Mughlai, Desserts";"Malad West";"4.1 ";"70";"Not Available";"1999"
"Curry Mantra";"Indian, Chinese, Tandoor, Biryani, Mangalorean, Malwani, Kerala, Goan, Chettinad, Mughlai, Seafood";"Dahisar";"4.3 ";"39";"0";"Not Available"
"Oye Teri - The Kulcha Kulture";"Indian";"Borivali";"4.2 ";"39";"0";"Not Available"
"Noorani Restaurant";"Chinese, North Indian";"Malad East";"4.1 ";"39";"Not Available";"599"
"Cheesecake & Co.";"Bakery, Desserts";"Jog Gor East";"4.2 ";"40";"Not Available";"399"
"Smoor";"Desserts, Bakery, Beverages";"I C Colony";"4.3 ";"39";"Not Available";"899"
"HRX by EatFit";"Healthy Food, Salads, Keto";"Gorai Road";"4.4 ";"38";"Not Available";"199"
"Shahi Darbar";"Beverages, Desserts, Ice Cream";"Malad Kan West";"Not Available";"41";"0";"Not Available"
"Gomantak";"Indian, Seafood, Tandoor, Malwani, Chinese";"Dahisar";"4.2 ";"53";"25";"125"
"Cafe Heaven";"Mughlai, Chinese, Tandoor, Indian";"Malad West";"4.1 ";"44";"Not Available";"599"
"Landmark Restaurant Veg Diet";"North Indian, Chinese, Continental, Beverages";"Malad Kan West";"4.1 ";"50";"0";"Not Available"
"Supermani";"South Indian, Biryani, Fast Food, Snacks";"Borivali";"4.5 ";"47";"0";"Not Available"
"Aahar-E-Kolkata";"Bengali, Thalis, Biryani, Desserts";"Malad Kan East";"4.2 ";"55";"0";"Not Available"
"Suraj Lama Momos";"Chinese";"Jog Gor East";"4.6 ";"55";"0";"Not Available"
"Charcoal Bistro";"Indian, Chinese";"Jog Gor East";"3.5 ";"44";"0";"Not Available"
"The Tiny Tub";"Desserts, Bakery, Sweets, Snacks, Cafe";"Malad Kan West";"4 ";"44";"Not Available";"749"
"DIMSUM WU (Chinese, Momo, Shushi & more) ";"Pan-Asian, Indonesian, Thai, Chinese, Desserts";"Borivali";"4.2 ";"51";"Not Available";"449"
"Kolkata Heshel";"Bengali";"Malad West";"4.5 ";"64";"10";"800"
"Social";"North Indian, Chinese, Fast Food, Biryani, Pizzas, Salads, Kebabs, Juices, Desserts, Beverages";"Goregaon East";"4.3 ";"58";"60";"120"
"Ohhdaily - Healthy & Homely Tiffins";"Thalis, Indian, Home Food, Chinese";"Malad West";"4.3 ";"42";"Not Available";"399"
"Harvest Salad Co";"Salads, Healthy Food, Snacks";"Road Ramachandra Lbe";"4.3 ";"44";"40";"80"
"Maiz Mexican Kitchen";"Mexican, Indian, Salads";"Road Ramachandra Lbe";"4.4 ";"44";"40";"80"
"Veg Sutra";"North Indian, Chinese";"Goregaon";"4.2 ";"48";"Not Available";"399"
"Balaji Snacks";"Snacks, Chaat, South Indian";"Malad East";"3.3 ";"39";"0";"Not Available"
"Shree Krishna";"Indian, Chinese, North Indian, Tandoor, Seafood, Biryani";"Kandivali West";"4.3 ";"45";"Not Available";"999"
"Speak Burgers by Vicky Ratnani";"Burgers, American, Beverages";"Malad Kan West";"4 ";"47";"Not Available";"449"
"Spicy Bowl";"Chinese, Biryani, North Indian, Tandoor, Beverages";"Goregaon";"3.5 ";"65";"0";"Not Available"
"Fire Bowl";"Chinese, Italian, Mexican, Thai";"Malad West";"4.3 ";"55";"0";"Not Available"
"Falafel's";"Lebanese, Mediterranean, Arabian, Middle Eastern, Rolls & Wraps, Jain";"Goregaon East";"4 ";"42";"Not Available";"449"
"The Pancake Story";"Desserts, Beverages";"Malad West";"4.4 ";"55";"Not Available";"599"
"Baithack Taste of Kulhad";"Beverages, Fast Food, Snacks";"Borivali";"3.8 ";"46";"0";"Not Available"
"Curry Culture";"Biryani, North Indian, Kebabs, Malwani, Chinese, Seafood, Asian, Thai, Mughlai, Indian, Desserts, Tandoor";"Malad West";"4.4 ";"54";"0";"Not Available"
"Foodaholic";"Chinese";"Jog Gor East";"Not Available";"53";"Not Available";"999"
"The Bar Stock Exchange";"North Indian, Biryani, Chinese, Asian, Kebabs, Italian";"Malad West";"4 ";"57";"0";"Not Available"
"Punjabi Grill";"Punjabi, Combo, Tandoor, Snacks, Chinese, Biryani";"Kandivali East";"4.1 ";"42";"15";"700"
"Bandra Cakery by Bunty Mahajan";"Bakery, Desserts";"Kandivali West";"4.4 ";"50";"30";"75"
"Krishna Lunch Home";"North Indian, Indian, Tandoor, Seafood";"Borivali";"4.2 ";"44";"0";"Not Available"
"Fried Nation";"Fast Food, American";"Malad West";"4.4 ";"49";"0";"Not Available"
"Cake Works";"Indian";"Malad Kan East";"Not Available";"46";"30";"150"
"Meraki";"Chinese";"Malad West";"4.2 ";"49";"Not Available";"449"
"Dale's Eden Cake Shop";"Desserts, Bakery, Sweets";"Malad West";"4.4 ";"38";"Not Available";"449"
"Banana Leaf";"South Indian, Snacks, Andhra";"Borivali West";"4.4 ";"39";"Not Available";"599"
"House of Biryan- Biryani, Kepsa and More";"Biryani, Kebabs, Rolls";"Malad West";"4.4 ";"40";"Not Available";"599"
"Brijwasi Sweets Original Since 1946";"Sweets, Snacks, Chaat, Beverages, Indian";"Malad Kan West";"4.4 ";"50";"15";"800"
"Deliciae by Bunty Mahajan";"Desserts";"Kandivali West";"4.6 ";"48";"Not Available";"1199"
"Sahara Restaurant";"North Indian, Chinese, Tandoor, Biryani";"Malad East";"3.8 ";"43";"Not Available";"449"
"Copper Chimney";"North Indian, Indian, Punjabi, Biryani, Tandoor, Kebabs, Mughlai, Desserts";"Malad West";"4.2 ";"80";"15";"1200"
"Jimis Burger";"American";"Jog Gor East";"4.6 ";"47";"0";"Not Available"
"Sadak Chaap";"Tandoor, Indian, Snacks";"Malad West";"4.4 ";"48";"Not Available";"749"
"Jamai Shoshthi";"Bengali, Biryani, Mughlai";"Goregaon";"4.2 ";"59";"0";"Not Available"
"Carter's Blue";"Indian, Chinese, Lebanese";"Malad West";"4.4 ";"49";"0";"Not Available"
"Hotel Ram Krishna";"Indian";"Dahisar East";"4.5 ";"41";"0";"Not Available"
"Delicacy";"Indian";"Kandivali West";"4.4 ";"40";"0";"Not Available"
"5 Spice";"Chinese, Asian, Thai, Seafood";"Borivali West";"4.2 ";"40";"Not Available";"499"
"BOMBAY JUICE";"Juices, Beverages, Salads";" Ratna bhai chawk saibaba Nagar, borivali west";"3.9 ";"41";"20";"700"
"Bombay Sweet Shop";"Desserts, Sweets, Bakery, Snacks, Indian";"Malad Kan West";"4.7 ";"41";"Not Available";"1199"
"Balaji Pure Veg";"Chinese, South Indian";"Malad Kan West";"4.2 ";"44";"10";"1000"
"Fuel Up";"Healthy Food, Salads, Juices, Grill, American, Continental";"Malad West";"4.5 ";"55";"Not Available";"399"
"Meal Bowl";"Indian, Chinese";"Goregaon West";"4.3 ";"45";"Not Available";"499"
"The French Connection";"Bakery, Snacks, Italian";"Malad Kan East";"4.6 ";"15";"30";"75"
"Madrasi Kaapi House";"South Indian, Combo, Beverages";"Evershine Millenium Paradise";"4.4 ";"26";"20";"50"
"Singarawala";"Bengali, Mughlai, Biryani, Thalis";"Malad Kan East";"4.6 ";"53";"0";"Not Available"
"Shivam Sundaram";"North Indian, Chinese, South Indian";"Express Highway";"4.4 ";"28";"20";"50"
"DBW - De Burger World";"Burgers, Snacks, Beverages";"Thakur Village";"4.5 ";"26";"0";"Not Available"
"The Biryani Story";"Biryani, Kebabs, Tandoor, Beverages";"Malad Kan West";"4 ";"54";"0";"Not Available"
"Andhra Kodi Pulao";"Hyderabadi, South Indian, North Indian, Andhra, Kebabs, Mughlai";"Malad Kan West";"4.4 ";"73";"Not Available";"449"
"Maharaja Bhog";"Gujarati, Rajasthani, Thalis";"Goregaon East";"4.4 ";"51";"10";"800"
"Pizza Caprina";"Pizzas, Italian-American, Desserts";"Goregaon West";"4.1 ";"55";"Not Available";"599"
"Satkar Restaurant";"Indian, Chinese, Tandoor";"Dahisar West";"3.9 ";"53";"0";"Not Available"
"Upwas Uphargruha";"Indian";"Rawal Pada";"3.4 ";"40";"0";"Not Available"
"Eva's Pizza";"Pizzas, Italian, Salads";"Malad West";"4.1 ";"52";"Not Available";"449"
"Biryani Culture";"Asian, Biryani, Chinese, Desserts, Indian, Mughlai, North Indian, Seafood, Tandoor, Thai, Kebabs";"Malad Kan West";"3.9 ";"51";"0";"Not Available"
"Zaffran";"North Indian, Biryani, Indian, Kebabs, Rolls & Wraps";"Andheri Link Road ";"4.4 ";"67";"Not Available";"799"
"Home Plate by EatFit";"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani, Maharashtrian, Snacks, Desserts, Beverages";"Gorai Road";"4 ";"39";"Not Available";"159"
"The Dessert Heaven - Pure Veg";"Bakery, Desserts, Sweets, Ice Cream";"L T Road Junction";"4.3 ";"39";"Not Available";"299"
"Darbhanga Xpress - The Taste of Mithila";"Indian, Seafood";"Kandivali East";"3.3 ";"35";"50";"100"
"Marrakesh";"Lebanese, North Indian, Kebabs, Desserts, Beverages";"Kandivali";"4 ";"42";"0";"Not Available"
"Bowl Soul";"Indian, Asian, Continental, Pan-Asian, Chinese, Mediterranean, Mexican, Lebanese, North Indian, Korean, Japanese, South Indian";"Goregaon";"4.1 ";"47";"Not Available";"129"
"Olio - The Wood Fired Pizzeria";"Pizzas, Pastas, Fast Food, Snacks, Beverages";"Malad West";"4.2 ";"61";"Not Available";"249"
"Barista Coffee";"Beverages, Snacks, Desserts";"Malad West";"4.2 ";"44";"Not Available";"449"
"Kailash Parbat";"North Indian";"Goregaon East";"4.1 ";"46";"0";"Not Available"
"Chaat Street - Desi Chaat & Chai";"Snacks, Chaat, Street Food, North Indian, Fast Food";"Gorai Road";"3.8 ";"44";"Not Available";"349"
"Suruchi Veg Restaurant";"North Indian, Chinese, South Indian, Fast Food, Beverages, Biryani";"Malad Kan East";"4.5 ";"32";"10";"800"
"Oye Paratha House";"Indian";"Malad Kan East";"4.1 ";"35";"50";"100"
"Mishra Pan Bhandar";"Paan, Sweets, Mughlai";"Malad Kan East";"4.7 ";"27";"10";"40"
"Ebony Casual Diner";"North Indian, Chinese, Biryani, Tandoor, Seafood";"Kandivali East";"4.2 ";"24";"30";"75"
"Golden Dragon Chinese Point";"Chinese";"90 FT Road";"4.4 ";"25";"60";"120"
"Surbhi Pure Veg (Thakur Village)";"Indian, Biryani, Chinese, Snacks, Beverages";"Kandivali East";"4.1 ";"30";"Not Available";"449"
"Cafe Cocobroma";"Cafe, Desserts, Waffle, Beverages, Bakery, Sweets";"Kandivali East";"4.3 ";"21";"20";"50"
"Surbhi";"Indian, Biryani, Chinese, South Indian, Snacks, Desserts, Beverages";"Kandivali East";"4.3 ";"29";"40";"80"
"Konark Veg Diet";"North Indian, Chinese, South Indian, Indian";"Kandivali East";"4.4 ";"24";"0";"Not Available"
"Mira Veg Restaurant";"South Indian, Chinese, North Indian, Fast Food, Indian, Beverages, Street Food";"Kandivali East";"4.3 ";"25";"10";"1500"
"Aavakay The Andhra Kitchen";"Andhra, Biryani, Indian, Desserts, Beverages";"Kandivali East";"4 ";"32";"30";"75"
"Papacream";"Ice Cream, Healthy Food, Desserts";"Kandivali West";"4.3 ";"38";"60";"120"
"Bangalore Iyengar's Bakery";"Bakery";"Malad Kan East";"3.9 ";"51";"0";"Not Available"
"B Burger - Bigger Burger";"Burgers, American, Beverages, Snacks";"Malad west";"4.2 ";"45";"Not Available";"349"
"Art Of Dum";"Biryani, North Indian, Kebabs, Indian, Awadhi, Hyderabadi, Mughlai, Desserts, Beverages";"Malad West";"4.4 ";"59";"25";"300"
"China Box Co";"Chinese, Asian, Thai, Seafood";"Borivali";"4.1 ";"42";"Not Available";"499"
"Mini Punjab";"North Indian, Chinese";"Malad West";"4.2 ";"52";"15";"80"
"Dimsum (Momo) Express";"North Indian, Chinese, Tandoor";"Borivali";"4 ";"45";"Not Available";"749"
"Coco Cafe";"Cafe, Burgers, American, Italian, Beverages, Desserts, Pastas, Continental";"Goregaon East";"4.1 ";"66";"Not Available";"499"
"Al-Baik.Com";"Fast Food, Pizzas, Burgers, Rolls & Wraps, Snacks";"Malad Kan West";"3.7 ";"52";"0";"Not Available"
"Foodland";"Mughlai, North Indian, Chinese, Seafood";"Malad West";"4.5 ";"53";"0";"Not Available"
"House of Candy";"Sweets";"Malad West";"3.7 ";"78";"0";"Not Available"
"Fruit Pop by Eatfit";"Beverages, Juices, Healthy Food, Desserts";"Gorai Road";"3.3 ";"41";"40";"80"
"Artinci - Indulge Guilt Free!";"Ice Cream, Healthy Food, Keto, Desserts, Snacks, Beverages, Bakery, Sweets";"Malad West";"4.2 ";"50";"Not Available";"449"
"Taaka Chinese";"Chinese, Oriental, Asian";"Goregaon";"3 ";"46";"Not Available";"129"
"Tandoori Nights";"Mughlai, Chinese";"Borivali West";"4.1 ";"43";"0";"Not Available"
"Mirch";"Mughlai, North Indian, Chinese, South Indian";"Borivali East";"4.3 ";"38";"20";"50"
"Banglore Iyengar Bakery";"Bakery, Snacks";"Malad Kan East";"4.3 ";"16";"0";"Not Available"
"The Baker's Dozen";"Bakery, Snacks, Desserts";"Goregaon";"4.5 ";"40";"Not Available";"449"
"Haka";"Chinese, Asian";"Malad West";"4.3 ";"64";"Not Available";"249"
"Samosa Singh";"North Indian, Indian, Snacks, Street Food";"Borivali";"3.9 ";"44";"Not Available";"499"
"Mainland China";"Chinese";"Goregaon East";"4.3 ";"60";"Not Available";"249"
"The Brooklyn Creamery - Healthy Ice Cream";"Desserts, Ice Cream, Healthy Food";"Goregaon";"4.2 ";"47";"15";"800"
"Ribbons And Balloons - The Cake Shop";"Cakes and Pastries, Bakery, Desserts, Ice Cream";"Imperial Heights";"4.5 ";"40";"0";"Not Available"
"Mom's Kitchen";"North Indian, Indian, Biryani";"Malad Kan East";"3.2 ";"56";"0";"Not Available"
"Nomad Pizza- Traveller Series";"Pizzas, Fast Food, Desserts, Beverages";"Malad West";"4.3 ";"55";"Not Available";"999"
"Prasuma Momo Kitchen";"Chinese, Asian, Snacks, Tibetan, Street Food, Japanese, Pan-Asian, Beverages";"Malad Kan West";"4.6 ";"48";"Not Available";"499"
"The Betel Leaf Co.";"Paan, Desserts, Indian";"Malad Kan West";"4.6 ";"45";"15";"700"
"Punjab Grill";"North Indian, Kebabs, Biryani, Mughlai";"MALAD WEST";"3.9 ";"70";"Not Available";"249"
"Asia Kitchen By Mainland China";"Asian, Japanese, Chinese";"Goregaon East";"4.4 ";"60";"Not Available";"249"
"Giani";"Ice Cream, Beverages";"Borivali";"4 ";"41";"0";"Not Available"
"PizzaExpress";"Pizzas, Italian";"Goregaon East";"4.1 ";"59";"Not Available";"1299"
"Crusto's - Cheese Burst Pizza";"Pizzas, Pastas, Fast Food, Snacks, Beverages";"Malad West";"4.2 ";"63";"Not Available";"249"
"Green Cravings";"Healthy Food, Fast Food, Grill";"Goregaon";"4.1 ";"50";"Not Available";"159"
"Biryani Badshah";"Biryani, Hyderabadi, Andhra, South Indian, North Indian, Mughlai, Kebabs";"Malad West";"4.1 ";"53";"Not Available";"449"
"Naadbramha Idli";"Chinese, South Indian";"Malad Kan West";"3.8 ";"43";"0";"Not Available"
"BOSS Burger";"Burgers, American, Fast Food, Snacks";"Goregaon East";"4.1 ";"49";"Not Available";"999"
"Edesia by Freshmenu";"Desserts, Bakery, Fast Food";"Goregaon";"4.1 ";"49";"0";"Not Available"
"Doner and Gyros";"Lebanese, Middle Eastern, Healthy Food, Salads, Snacks, American, Desserts, Beverages, Rolls & Wraps, Fast Food";"Mira Road";"4.5 ";"50";"0";"Not Available"
"New York Waffles & Dinges";"Waffle, Bakery, Desserts, Beverages, Ice Cream";"Borivali";"3.7 ";"38";"Not Available";"449"
"Vividham Sweets and Dryfruits";"Indian, Snacks";"Borivali East";"4.7 ";"22";"10";"1000"
"Juno's Pizza by EatFit - Baking Fresh Since 1974";"Pizzas, Pastas, Jain, Beverages, Desserts, Fast Food";"Borivali West";"4.2 ";"40";"Not Available";"249"
"Starboy Pizza & Shakes";"Pizzas, Italian, Desserts, Beverages";"Borivali";"4 ";"42";"Not Available";"449"
"SLAY Coffee";"Cafe, Beverages, Desserts, Snacks, Pastas";"Goregaon";"4.2 ";"55";"Not Available";"399"
"The Sugar Free Keto Kafe - Artinci";"Ice Cream, Keto, Healthy Food, Sweets, Bakery, Desserts, Snacks";"Malad West";"4.4 ";"45";"Not Available";"449"
"Cake Walk";"Indian, Bakery, Waffle, Desserts";"Malad Kan West";"3 ";"46";"0";"Not Available"
"Akkad Bakkad Bombay Boo - AB3";"Snacks, Fast Food, Pizzas";"Kandivali East";"4.5 ";"33";"Not Available";"449"
"The Wafflemeister";"Desserts, Beverages, Sweets, Ice Cream";"Kandivali East";"4.4 ";"32";"40";"80"
"Sanjay Pure Veg";"Indian, South Indian";"Borivali East";"4.3 ";"29";"0";"Not Available"
"Su-Veg";"North Indian, Chinese, South Indian, Biryani, Snacks, Beverages";"Borivali East";"4.4 ";"39";"30";"75"
"Harsh Thali and Parathas - Mom Makes, Son Sells";"North Indian, Thalis, Gujarati, Rajasthani, Jain, Chinese";"Kandivali East";"4.5 ";"39";"20";"50"
"Monopoly";"Italian, Mexican, Continental, Juices, Pizzas, Snacks, Pastas, Beverages";"Borivali West";"4.2 ";"37";"0";"Not Available"
"Hotel Sarvoday";"Chinese";"Malad Kan East";"3.1 ";"34";"40";"200"
"Maa Anjani Pav Bhaji Centre";"Chinese";"Borivali West";"4.4 ";"32";"0";"Not Available"
"Maharashtra Biryani center";"Biryani";"Kandivali East";"3.9 ";"28";"0";"Not Available"
"Jain Dughdalay";"Sweets";"Borivali";"4.4 ";"22";"10";"700"
"69 Dackers Lane";"Bengali, Biryani";"Malad Kan East";"3.8 ";"27";"50";"100"
"Madras Talkies";"South Indian, Beverages";"Malad Kan East";"3.6 ";"19";"Not Available";"499"
"Rama's Sweets & Snacks";"Sweets, Snacks";"Malad Kan East";"4.3 ";"12";"10";"40"
"Malvan Kinara";"Indian, Chinese";"Akurli Road";"4.2 ";"43";"10";"1500"
"Oye Bihari - Real Taste of Bihar";"Indian, Seafood";"Kandivali East";"4 ";"34";"50";"100"
"DonBuri";"Continental, Chinese, Oriental, Asian, Healthy Food, Fast Food, Indian, Desserts";"Goregaon";"3.8 ";"45";"Not Available";"129"
"Khichdi Express";"Indian, North Indian, Home Food, Healthy Food, Snacks, Juices, Beverages";"Malad West";"4.2 ";"55";"0";"Not Available"
"Keventers Ice Cream";"Ice Cream, Desserts";"Malad West";"4.1 ";"55";"Not Available";"399"
"ENSO - Sourdough Pizza by Nomad";"Pizzas, Fast Food, Desserts, Salads, Beverages";"Malad Kan West";"4.6 ";"53";"Not Available";"999"
"Cafe Delhi Heights";"Italian, American, Indian";"Malad West";"4 ";"66";"Not Available";"399"
"Raja Chinese & Tandoor Corner";"Chinese, Barbecue";"Kandivali West";"3.9 ";"36";"Not Available";"999"
"Su - Swagat";"North Indian, Chinese, Tandoor, Beverages, Ice Cream, South Indian";"Borivali";"4.2 ";"31";"0";"Not Available"
"Grand Maratha";"North Indian, Chinese, Malwani";"Borivali East";"4.4 ";"39";"0";"Not Available"
"Hotel Shree Ramdev";"South Indian, Punjabi, Indian, Tandoor, Biryani, Chinese";"Dahisar";"4.4 ";"27";"0";"Not Available"
"Dwaraka";"South Indian, Indian, Chinese, North Indian, Italian";"Borivali West";"4.6 ";"32";"0";"Not Available"
"Paratha Zone";"North Indian, Snacks, Biryani";"BORIVALI";"4.5 ";"28";"0";"Not Available"
"THE CAKE POINT";"Bakery";"Borivali";"Not Available";"34";"0";"Not Available"
"Agrawal Sweets";"North Indian, Snacks";"Borivali East";"3.8 ";"27";"Not Available";"599"
"Kathiyawadi Bhog";"Indian";"Borivali West";"4.3 ";"39";"0";"Not Available"
"SHREE RAM SWEETS AND FARSAN";"Sweets, Snacks";"Borivali";"4.6 ";"29";"0";"Not Available"
"Bhaskar's Puranpoli Ghar";"Maharashtrian, Gujarati, Mangalorean";"Malad Kan West";"4.4 ";"38";"0";"Not Available"
"Chaap Theka";"Biryani, Jain, Tandoor, North Indian";"Borivali";"4.3 ";"38";"10";"700"
"Biryani Barbeque Chinese (BBC)";"Biryani, Chinese, North Indian, Punjabi, Kebabs, Afghani";"Borivali West";"4.4 ";"30";"0";"Not Available"
"Damru Paan Shop";"Paan";"Borivali West";"4.7 ";"25";"0";"Not Available"
"Nandu Dosa Dinner";"South Indian";"Borivali";"4.3 ";"34";"0";"Not Available"
"Nagpal Choley Bhature";"North Indian, Tandoor, Beverages, Desserts";"Kandivali West";"4.2 ";"35";"10";"600"
"The Juice Junction";"Juices, Beverages";"Mahavir Nagar Kandivali West";"4.4 ";"28";"Not Available";"999"
"Nat Khat Pav Bhaji And Snacks Corner";"North Indian, Fast Food, Snacks";"Malad Kan East";"3.4 ";"51";"60";"120"
"Mystic Lebanese";"Arabian, Mediterranean, Lebanese, Turkish";"Malad Kan East";"4.2 ";"45";"Not Available";"249"
"Amritsari Kulcha Junction (Pure Veg)";"North Indian, Chaat, Punjabi, Beverages";"Borivali";"4.1 ";"46";"Not Available";"749"
"South Tiffin House Exclusive";"South Indian, Street Food, Beverages, Snacks";"Kandivali West";"4.2 ";"42";"Not Available";"449"
"Lata Restaurant";"Indian, Chinese, Mughlai, Biryani, North Indian";"Kandivali West";"4.4 ";"40";"15";"80"
"Sandeep Pure Veg";"South Indian, North Indian, Chinese, Street Food";"Railway Station";"4.5 ";"42";"0";"Not Available"
"Sannidhi Family Restaurant (Kandivali Station)";"Mughlai, North Indian, Chinese, South Indian, Indian, Salads, Desserts, Snacks, Beverages";"Kandivali West";"4.5 ";"47";"Not Available";"749"
"Pangat (Dahisar East)";"Konkan, Chinese, Tandoor, Indian";"Dahisar";"4.4 ";"44";"0";"Not Available"
"Akkad Bakkad Bombay Boom (Mahavir Nagar)";"Snacks, Italian";"Kandivali West";"4.2 ";"44";"Not Available";"999"
"Ganesh Snack & Juice Corner";"Fast Food, Chaat";"Malad Kan East";"4.3 ";"33";"30";"75"
"Sonu's Chinese Corner";"Chinese, North Indian";"Borivali East";"4.2 ";"35";"0";"Not Available"
"Radha Restaurant";"South Indian, Chinese, Snacks, Indian, Beverages, Pizzas";"Borivali West";"4.5 ";"35";"0";"Not Available"
"Sanjay Icecreams";"Ice Cream, Desserts";"Malad Kan East";"4.5 ";"24";"0";"Not Available"
"Raisins Chocolatier And Patisserie";"Desserts";"Borivali";"3.3 ";"27";"15";"100"
"Fisco Restobar";"Indian, Chinese, Italian, Mexican";"Kandivali West";"4.5 ";"37";"Not Available";"449"
"Pizza Story";"Pizzas, Burgers, Desserts, Chinese, Pastas, Italian";"Kandivali East";"4.6 ";"33";"50";"100"
"Taste Of Kolkata";"Indian, Chinese, Bengali";"Kandivali East";"4.2 ";"31";"10";"40"
"Sizzling Spices";"Chinese, Thai, Asian, Indonesian, Seafood, Beverages";"Kandivali East";"4.4 ";"27";"20";"50"
"Times Of Paratha";"Indian, Snacks";"Kandivali East";"Not Available";"40";"50";"100"
"Malvani Swaad (Sushama's Kitchen)";"Malwani, Seafood, Indian, North Indian, Biryani, Salads, Beverages, Thalis";"Kandivali East";"4 ";"37";"Not Available";"249"
"2 Delicious Poha House";"Indian, Snacks";"Malad Kan East";"4 ";"16";"10";"40"
"New Kulfi Center";"Ice Cream";"Malad Kan West";"4.6 ";"26";"0";"Not Available"
"Swastik Fast Food (Franky)";"Fast Food";"Borivali";"4.2 ";"33";"0";"Not Available"
"A Taste Of India";"Indian, Chinese, Mughlai, North Indian";"Kandivali East";"4.4 ";"40";"40";"80"
"Crave Junction";"Italian, Chinese, Pizzas, Beverages";"Kandivali West";"4 ";"34";"0";"Not Available"
"Uk14";"Beverages, Ice Cream";"Kandivali West";"4.5 ";"26";"0";"Not Available"
"Jain Sweets";"Street Food, Maharashtrian";"Dattani Centre";"4.3 ";"36";"15";"80"
"UFO Fries & Corn";"North Indian";"Kandivali West";"4.1 ";"34";"Not Available";"999"
"Wtc Pasta";"Italian, Snacks, Grill, Beverages, Pizzas, Pastas";"Borivali";"3.9 ";"40";"0";"Not Available"
"UBQ BY Barbeque Nation";"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts";"Kandivali East";"4 ";"40";"40";"80"
"Food Costa";"Fast Food, Pizzas, Biryani, Mexican, Snacks, Beverages, Burgers";"Kandivali (East), Thakur Village";"3.9 ";"23";"20";"50"
